make,model,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,injury_severity,aircraft_damage,broad_phase_of_flight,weather_condition,number_of_engines,engine_type,aircraft_category
Grumman,G-164B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Evans Aircraft,VP-1,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,J35,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Texas Helicopter Corp.,OH-13E,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Helicopter
Piper,PA-34-200T,1.0,4.0,0.0,0.0,Fatal(1),Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Thorp,T-18,0.0,0.0,2.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-32-301,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,150J,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,188B,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,18,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Other,VMC,1.0,Reciprocating,Airplane
Cessna,150L,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
"Rotorway Aircraft, Inc.",SCORPION TOO,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,VMC,1.0,Reciprocating,Helicopter
Piper,PA-28-140,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,140,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Grumman,G-164A,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Luscombe,8A,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,18,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,B19,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Pitts,S2S,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Eagle,DW-1,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,A152,6.0,0.0,0.0,0.0,Fatal(6),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172,6.0,0.0,0.0,0.0,Fatal(6),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Omac,1,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Turbo Jet,Airplane
Piper,28-140,1.0,1.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-180,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Descent,VMC,1.0,Reciprocating,Airplane
Bucker Jungmann,BU-131,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,A150L,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,210K,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
American,AA5B,0.0,0.0,2.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-22,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,150M,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,UNK,1.0,Reciprocating,Airplane
Cessna,188B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,A188B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-38-112,0.0,0.0,0.0,1.0,Incident,Minor,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,150H,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-601P,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Steen,SKYBOLT,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Climb,VMC,1.0,Reciprocating,Airplane
Piper,PA-38,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,188,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Alon,A2,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Robinson,R22,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Cessna,206G,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Bell,UH-1B,3.0,0.0,6.0,0.0,Fatal(3),Substantial,Maneuvering,VMC,1.0,Turbo Shaft,Helicopter
Cessna,T188C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,24-140,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,A185F,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Beech,S35,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Aeronca,7AC,0.0,1.0,1.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Grumman,G-164A,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,188B,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Austin,S.E. 5A,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,175,0.0,0.0,2.0,1.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Cessna,U206G,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,152II,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-28,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Morrisey,2150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Schleicher,ASW-20,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,0.0,Unknown,Glider
Beech,B-60,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Reciprocating,Airplane
Schweizer,SGS-2-33A,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,0.0,Unknown,Glider
Cessna,305A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,1.0,4.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Stinson,108-1,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,150M,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-22-150,0.0,2.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
North American,T-6G,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Piper,PA-18S,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,182P,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Hallquist,THUNDERBOLT,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Beech,F35,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,180,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-25-235,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-23C-250,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Climb,VMC,2.0,Reciprocating,Airplane
Cessna,120,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,182,0.0,0.0,1.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beechcraft,C-45H,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,2.0,Reciprocating,Airplane
Ercoupe,415C,0.0,0.0,2.0,0.0,Non-Fatal,Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Aeronca Champ,7EC,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,182,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Piper,28-181,0.0,1.0,2.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-34-200T,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Lake,LA-4,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,150L,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Varga,2150A,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-25-235,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA25-235C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172M,2.0,0.0,0.0,2.0,Fatal(2),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,0.0,1.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,2.0,0.0,0.0,2.0,Fatal(2),Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,180J,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,182E,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150G,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Q-berry,HAWK,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Boeing,727-231,0.0,0.0,0.0,129.0,Incident,Minor,Approach,IMC,3.0,Turbo Fan,Airplane
Robertson,C-414,12.0,0.0,0.0,0.0,Fatal(12),Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Hughes,369D,1.0,1.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,VMC,1.0,Turbo Shaft,Helicopter
Cessna,R182,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Beech,95-B55,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Beech,B99A,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,2.0,Turbo Prop,Airplane
Oar,ACAPELLA,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,150J,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Siai Marchetti,S.205-22/R,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Bell,47G-2,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Piper,PA-23,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Go-around,VMC,2.0,Reciprocating,Airplane
Cessna,172P,0.0,0.0,3.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Bell,UH1B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Turbo Shaft,Helicopter
Piper,PA-32-300,0.0,0.0,4.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,T210M,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Lake,LA-4-200,1.0,3.0,1.0,0.0,Fatal(1),Destroyed,Takeoff,IMC,1.0,Reciprocating,Airplane
Cessna,177,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,2.0,Incident,Minor,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,2.0,Incident,Minor,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,150M,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Hughes,269A,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Grumman,AA-5B,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,E-35,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,T21OM,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-181,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,185F,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Hughes,269B,0.0,1.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Helicopter
Enstrom,F-280,1.0,3.0,1.0,0.0,Fatal(1),Substantial,Cruise,VMC,1.0,Reciprocating,Helicopter
Enstrom,280C,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Grumman,G-164,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Beech,B19,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Mooney,M20,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Aerospatiale,350D,0.0,0.0,0.0,4.0,Incident,Minor,Maneuvering,VMC,1.0,Turbo Shaft,Helicopter
Benson,B8M,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Gyrocraft
Thorp,T-18,2.0,0.0,0.0,0.0,Fatal(2),Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,R172K,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-38,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,310P,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Cessna,180A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,UNK,1.0,Reciprocating,Airplane
Douglas,DC-3C,0.0,0.0,2.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Reciprocating,Airplane
Sikorsky,S-55B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Helicopter
Bellanca,7KCAB,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,150L,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,UNK,1.0,Reciprocating,Airplane
Piper,PA-28R,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,182P,0.0,0.0,0.0,3.0,Incident,Minor,Approach,VMC,1.0,Reciprocating,Airplane
Maule,M-5-210C,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172M,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Go-around,VMC,1.0,Reciprocating,Airplane
Schweizer,SGS-2-33A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,0.0,Unknown,Glider
Cessna,150L,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,210L,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Bell,47J-2,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Helicopter
Piper,PA-28RT-201,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Enstrom,F28C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Beech,C23,1.0,2.0,0.0,0.0,Fatal(1),Substantial,Go-around,VMC,1.0,Reciprocating,Airplane
Cessna,177,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,C23,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,A23A,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Taylorcraft,BC12-D,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Varga,2180,0.0,1.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Mooney,M20F,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Boeing,PT-17,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Great Lakes,2T-1A-2,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-38-112,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Go-around,VMC,1.0,Reciprocating,Airplane
Aero Commander,680FL,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Cessna,A185F,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,170,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-181,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Mooney,M20F,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Stinson,10A,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,421B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,2.0,Reciprocating,Airplane
Piper,PA-28-180,0.0,0.0,0.0,5.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,C23,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,1.0,1.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,PA-12,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-25,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,182M,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Lake,LA-4-200,0.0,0.0,0.0,3.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Bell,206B,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Turbo Shaft,Helicopter
Cessna,182P,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Hughes,269A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Cessna,172K,0.0,0.0,1.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,150M,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Hiller,UH12D,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Helicopter
Corben,B,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Other,VMC,1.0,Reciprocating,Airplane
Starduster,II,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Other,VMC,1.0,Reciprocating,Airplane
Cessna,180,0.0,0.0,3.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-24-180,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,310C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Cessna,U206B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Unknown,VMC,1.0,Reciprocating,Airplane
Sonerai,II,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Thorp,T-18,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150H,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Maule,M-4-210C,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,207,0.0,6.0,0.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Approach,IMC,1.0,Reciprocating,Airplane
Beech,95-B55,2.0,1.0,0.0,0.0,Fatal(2),Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Bell Helicopter Textron,47G3B1,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Piper,PA-32-260,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Hughes,369HS,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Landing,IMC,1.0,Turbo Shaft,Helicopter
Piper,J-3,0.0,0.0,0.0,2.0,Incident,Minor,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-22-108,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,T337C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Cessna,210,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Piper,PA-18-150,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Bellanca,8KCAB,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Beech,B19,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Aeronca,7GC,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,170B,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-17,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Benson,B8M,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Gyrocraft
Mitsubishi,MU-2B-25,0.0,0.0,0.0,2.0,Incident,Minor,Climb,VMC,2.0,Turbo Prop,Airplane
Cessna,152,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
